@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
4314,'2019/09/19 12:48:12:073',39,-6908016,-5658203,-5460821,-6383721,-7964554,-9214877,-10004648,-10131346,-10789017,-11248797,-6447719,-5132626,-5660255,-8492696,-8294546,-9875891,-10401207,-9015438,-7237738,-8551282,-6119010,-4934990,-4737867,-4803660,-5066831,-5264210,-5527638,-5922395,-7304045,-9408394,-6119010,-5066832,-9934999,-15397358,-8163987,-6124662,-6120547,-6449254,-7041131,-8685442,-6250851,-7040364,-15922675,-13624290,-11456464,-9879488,-9285297,-8428190,-8752007,-9277322,-6185057,-5790297,-14014421,-14675436,-12046289,-10796737,-10201772,-10398637,-10264988,-8882563,-7961466,-7435379,-6119518,-6843241,-7370357,-6711912,-6777447,-7369841,-9409680,-9145734,-8422018,-10001564,-6975084,-7174779,-7176323,-7049108,-6915977,-7567992,-8685699,-9145478,-7895416,-7830136,-6844012,-7179923,-7052202,-6920353,-7247514,-8093304,-8355704,-9342087,-8158074,-7763573,-7566450,-7633281,-7901381,-7640268,-9214387,-11312016,-9801864,-9867658,0
4315,'2019/09/19 12:48:12:107',39,-7039089,-5658203,-5460566,-6383466,-8095115,-9214622,-10004393,-10131090,-10788761,-11248542,-6447463,-5197907,-5725792,-8557977,-8360083,-9875380,-10466231,-9015182,-7237483,-8551027,-6118755,-4934991,-4737612,-4803404,-5066832,-5264210,-5592918,-5922139,-7303791,-9408138,-6119009,-5066577,-9934743,-15462383,-8163988,-6124662,-6120291,-6448999,-7106411,-8750722,-6250596,-7105901,-15922163,-13754851,-11521488,-9944769,-9350834,-8428190,-8751751,-9277323,-6250593,-5855834,-14145750,-14805997,-12177106,-10862017,-10201773,-10463916,-10330524,-8882308,-7961466,-7500916,-6119263,-6908778,-7435894,-6777449,-6777192,-7369585,-9475216,-9145479,-8421762,-10001308,-6974828,-7174779,-7176066,-7048852,-6981259,-7567991,-8685444,-9210759,-7829624,-7764344,-6844012,-7179668,-7117739,-6985378,-7247259,-8158584,-8355705,-9407367,-8223355,-7763317,-7500658,-7698562,-7966406,-7640013,-9213876,-11312017,-9866890,-9998219,0
4316,'2019/09/19 12:48:12:140',39,-7039088,-5658203,-5460566,-6383466,-7964042,-9148830,-10004137,-10131089,-10854042,-11248543,-6447463,-5197907,-5725791,-8557977,-8360083,-9941172,-10466487,-9015183,-7237739,-8616563,-6118754,-4934992,-4737612,-4803404,-5132368,-5264210,-5592918,-5922395,-7303791,-9408394,-6119010,-5066833,-9868950,-15396846,-8229525,-6124406,-6120291,-6448998,-7106411,-8685185,-6250595,-7105901,-15922163,-13754851,-11521489,-9879232,-9350578,-8362654,-8751750,-9277322,-6250594,-5855834,-14145751,-14806252,-12111570,-10862018,-10202029,-10398637,-10330525,-8882308,-7961466,-7500916,-6119263,-6974571,-7436150,-6777449,-6711911,-7435122,-9475216,-9211016,-8421762,-10001308,-6974828,-7174522,-7241602,-7048852,-6981258,-7633528,-8685700,-9210759,-7895160,-7829880,-6909548,-7179924,-7117739,-6854561,-7247259,-8093049,-8355449,-9342087,-8157818,-7763573,-7566194,-7698562,-7966662,-7705549,-9279668,-11377298,-9801354,-9932938,0
4317,'2019/09/19 12:48:12:173',39,-7039088,-5658203,-5460566,-6383466,-7964042,-9148830,-10004137,-10131089,-10854042,-11248543,-6447463,-5197907,-5725791,-8557977,-8360083,-9941172,-10466487,-9015183,-7237739,-8616563,-6118754,-4934992,-4737612,-4803404,-5132368,-5264210,-5592918,-5922395,-7303791,-9408394,-6119010,-5066833,-9868950,-15396846,-8229525,-6124406,-6120291,-6448998,-7106411,-8685185,-6250595,-7105901,-15922163,-13754851,-11521489,-9879232,-9350578,-8362654,-8751750,-9277322,-6250594,-5855834,-14145751,-14806252,-12111570,-10862018,-10202029,-10398637,-10330525,-8882308,-7961466,-7500916,-6119263,-6974571,-7436150,-6777449,-6711911,-7435122,-9475216,-9211016,-8421762,-10001308,-6974828,-7174522,-7241602,-7048852,-6981258,-7633528,-8685700,-9210759,-7895160,-7829880,-6909548,-7179924,-7117739,-6854561,-7247259,-8093049,-8355449,-9342087,-8157818,-7763573,-7566194,-7698562,-7966662,-7705549,-9279668,-11377298,-9801354,-9932938,0
4318,'2019/09/19 12:48:12:206',39,-6973553,-5657948,-5460822,-6317674,-7963785,-9148573,-10069416,-10131090,-10854296,-11379615,-6447463,-5197906,-5660256,-8558233,-8425877,-9941429,-10532024,-9080975,-7303276,-8485490,-6118755,-4934991,-4737612,-4803660,-5066832,-5264210,-5592918,-5987932,-7304047,-9473931,-6119010,-5066833,-9803413,-15462383,-8229524,-6190198,-6120291,-6449254,-7106412,-8750722,-6250595,-7105645,-15856627,-13755109,-11456208,-9879232,-9350834,-8428190,-8817287,-9277322,-6185057,-5856090,-14211543,-14806252,-12111826,-10927810,-10267566,-10398637,-10264989,-8948099,-7961466,-7500916,-6119518,-6974571,-7436151,-6777705,-6777447,-7369842,-9540753,-9145736,-8422018,-10066845,-6974829,-7174522,-7176066,-7048851,-6981258,-7633528,-8685699,-9276295,-7895160,-7829880,-6909548,-7245459,-7117739,-6854561,-7247260,-8158585,-8420985,-9342087,-8158074,-7829109,-7566451,-7698562,-7901126,-7705549,-9214132,-11377298,-9801609,-9932939,0
4319,'2019/09/19 12:48:12:239',39,-6973553,-5723739,-5460822,-6251623,-7832455,-9082523,-9872293,-9999761,-10788505,-11445663,-6447463,-5132626,-5725792,-8689820,-8426391,-10072504,-10598074,-9212561,-7303532,-8485491,-6118755,-4934991,-4803404,-4803660,-5066832,-5264210,-5593174,-5987932,-7304047,-9474186,-6119010,-5132369,-9803157,-15396590,-8295060,-6189942,-6120291,-6449254,-7040876,-8685186,-6250596,-7171437,-15856371,-13755107,-11521744,-9879231,-9350578,-8428190,-8817287,-9342859,-6185313,-5856090,-14277080,-14806253,-12177106,-10862275,-10267566,-10464174,-10330525,-8948100,-7961466,-7500916,-6119263,-7040364,-7501943,-6777706,-6777448,-7369586,-9541008,-9211272,-8422018,-10066844,-6974828,-7174779,-7241603,-7048851,-6915978,-7633529,-8751236,-9210759,-7829880,-7830136,-6909548,-7179924,-7183275,-6920098,-7247259,-8224378,-8421241,-9276295,-8223354,-7829109,-7631987,-7698562,-7966663,-7771085,-9279413,-11377553,-9867146,-9932940,0
4320,'2019/09/19 12:48:12:273',39,-6973808,-5658203,-5460821,-6119779,-7569281,-8819605,-9674912,-9999503,-10722967,-11446432,-6447719,-5198163,-5660511,-8756126,-8624025,-10073529,-10730429,-9344403,-7435118,-8485489,-6119011,-5000527,-4803404,-4803660,-5132368,-5264468,-5593174,-5987932,-7369839,-9474186,-6119010,-5066833,-9671827,-15396845,-8229780,-6124406,-6120290,-6514790,-7040875,-8685442,-6250851,-7105900,-15791089,-13689828,-11456464,-9879488,-9350833,-8428445,-8817542,-9277834,-6250594,-5856090,-14277592,-14740972,-12112081,-10862531,-10202287,-10399150,-10330781,-8948356,-7961467,-7501172,-6119519,-7040620,-7567735,-6843242,-6777448,-7369842,-9541009,-9211528,-8422018,-10067100,-6975084,-7240572,-7242114,-6983572,-6916234,-7633785,-8751235,-9211271,-7895416,-7830136,-6844012,-7114386,-7117738,-6920611,-7313052,-8224634,-8355704,-9341830,-8223611,-7763829,-7566450,-7633281,-7966917,-7640013,-9148853,-11377808,-9933194,-9998987,0
4321,'2019/09/19 12:48:12:306',39,-6973808,-5658203,-5460821,-6119779,-7569281,-8819605,-9674912,-9999503,-10722967,-11446432,-6447719,-5198163,-5660511,-8756126,-8624025,-10073529,-10730429,-9344403,-7435118,-8485489,-6119011,-5000527,-4803404,-4803660,-5132368,-5264468,-5593174,-5987932,-7369839,-9474186,-6119010,-5066833,-9671827,-15396845,-8229780,-6124406,-6120290,-6514790,-7040875,-8685442,-6250851,-7105900,-15791089,-13689828,-11456464,-9879488,-9350833,-8428445,-8817542,-9277834,-6250594,-5856090,-14277592,-14740972,-12112081,-10862531,-10202287,-10399150,-10330781,-8948356,-7961467,-7501172,-6119519,-7040620,-7567735,-6843242,-6777448,-7369842,-9541009,-9211528,-8422018,-10067100,-6975084,-7240572,-7242114,-6983572,-6916234,-7633785,-8751235,-9211271,-7895416,-7830136,-6844012,-7114386,-7117738,-6920611,-7313052,-8224634,-8355704,-9341830,-8223611,-7763829,-7566450,-7633281,-7966917,-7640013,-9148853,-11377808,-9933194,-9998987,0
4322,'2019/09/19 12:48:12:340',39,-6973553,-5723739,-5395030,-5856351,-7305340,-8490385,-9476764,-9867661,-10722197,-11643043,-6447463,-5197907,-5725792,-8953506,-8887199,-10139323,-11058626,-9475990,-7566704,-8485234,-6118755,-4934992,-4803404,-4869196,-5132368,-5461846,-5592919,-5987932,-7304047,-9473930,-6119011,-5066833,-9671827,-15331052,-8229268,-6189942,-6120290,-6514534,-7040875,-8685186,-6250851,-7105901,-15856369,-13820643,-11521488,-9879232,-9285042,-8362653,-8817287,-9343116,-6250594,-5921627,-14343130,-14806253,-12177362,-10927811,-10333359,-10464430,-10330526,-9013636,-8027003,-7500916,-6185055,-7106413,-7567736,-6843242,-6777448,-7435378,-9541010,-9211273,-8422018,-10067101,-7040621,-7175293,-7307909,-7049109,-6915980,-7633786,-8685699,-9211272,-7895160,-7895673,-6909291,-7113618,-7051691,-7051428,-7444125,-8290428,-8355449,-9210245,-8223355,-7763573,-7566451,-7698562,-7901127,-7574222,-9279413,-11508368,-10064011,-9998989,0
4323,'2019/09/19 12:48:12:373',39,-7039089,-5723739,-5460567,-5658971,-6976117,-8226442,-9082006,-9736074,-10656148,-11709093,-6447719,-5198162,-5660256,-9085349,-9150628,-10336189,-11059397,-9673369,-7763827,-8419698,-6119010,-5000527,-4803148,-4869196,-5132368,-5593690,-5724761,-5987932,-7369584,-9473674,-6119010,-5132369,-9606034,-15330796,-8229268,-6124150,-6054754,-6514534,-7040875,-8750721,-6250595,-7105900,-15856369,-13820644,-11521489,-9878976,-9350578,-8493470,-8817287,-9343372,-6250593,-5921627,-14408923,-14740717,-12177107,-10993347,-10333359,-10529967,-10330525,-8948356,-7961467,-7500916,-6119519,-7171950,-7633273,-6843499,-6777448,-7435378,-9541009,-9211528,-8422018,-10001564,-6975085,-7241086,-7373703,-7049366,-6784907,-7633786,-8750980,-9276808,-7829880,-7830136,-6909035,-7113361,-7051437,-7117221,-7444381,-8356221,-8421241,-9144451,-8223354,-7763573,-7631987,-7698562,-7901127,-7508431,-9213621,-11573904,-10064267,-9998989,0
